Open,High,Low,Close,Vol,MA_5,MA_21,SAR,BB_up,BB_mid,BB_low,OBV,macd,macdsignal,macdhist,fastk,fastd,RSI,MOM,TRIX,CCI,ADX,MA_9,resultado_binario
5227.5,5228.5,5226.0,5226.5,4558,5227.4,5222.380952380952,5246.5,5235.061585485703,5222.675,5210.288414514297,-28025.0,3.0783288218017333,2.955646548583275,0.12268227321845826,38.46153846153846,31.107549857549802,58.07192006235103,1.0,0.001099928965997421,29.166666666666668,26.04749388542394,5226.726776432076,0
5207.5,5210.0,5207.0,5210.0,5142,5207.6,5210.4047619047615,5246.5,5217.063558297869,5210.05,5203.036441702131,-68844.0,-3.013316188315912,-3.2779252951564697,0.26460910684055783,100.0,65.27777777777773,45.65188835748097,0.5,-0.002351663708433094,18.573797678302647,41.06342311128686,5208.090781877463,1
5209.0,5210.0,5207.5,5209.0,3563,5210.4,5209.380952380952,5246.5,5214.242372372614,5209.125,5204.007627627386,-69431.0,-1.8849848022973674,-2.568300741837576,0.6833159395402086,33.333333333333336,52.22222222222217,43.96931037853601,4.0,-0.00300284544330065,36.13916947254552,34.552865468874195,5209.321984257009,1
5209.0,5213.0,5206.0,5212.0,10117,5210.8,5209.261904761905,5246.5,5214.242372372614,5209.125,5204.007627627386,-59314.0,-1.5391260698788756,-2.362465807445836,0.8233397375669602,85.71428571428571,56.34920634920629,51.202738925714485,5.0,-0.003107902852816924,84.45807770963036,32.42639560639048,5209.857587405607,1
5226.0,5226.5,5223.0,5223.5,3756,5225.0,5220.142857142857,5246.5,5231.460939185607,5220.6,5209.739060814394,-16050.0,3.1418050639449575,2.9321429427636936,0.20966212118126393,25.0,49.35897435897427,59.29607946240751,2.5,0.0002470001774890207,49.614791987617096,28.22568591857918,5224.043464879442,0
5215.5,5220.5,5215.5,5219.5,4296,5216.8,5220.952380952381,5246.5,5229.0425117890745,5220.825,5212.607488210925,-38505.0,-0.15607870464464213,0.5952877678997922,-0.7513664725444343,80.0,70.25641025641016,52.81422810287831,-6.0,0.001114719933958952,-18.650088809959623,24.762734007973698,5217.859058461366,1
5219.5,5220.0,5214.0,5215.0,6321,5216.7,5220.547619047619,5246.5,5229.124273225416,5220.525,5211.925726774583,-44826.0,-0.4025515973808069,0.39571989484367237,-0.7982714922244794,15.384615384615383,52.307692307692214,43.220005283173634,-8.5,0.001101777702494644,-51.05566218812099,23.390014866769725,5217.287246769092,1
5216.0,5219.0,5215.5,5217.5,2240,5216.8,5220.023809523809,5246.5,5228.334635316677,5219.8,5211.265364683323,-39574.0,-0.47101254725475883,0.07725061080751836,-0.5482631580622772,53.84615384615385,33.333333333333236,49.01686912840001,1.5,0.0010455153817368057,-12.027491408967798,20.95766272058243,5217.1238379322185,1
5223.5,5224.0,5220.5,5220.5,3411,5223.9,5220.214285714285,5246.5,5228.764381404378,5220.5,5212.235618595622,-19137.0,1.4741924175759777,1.4090310152883565,0.06516140228762124,0.0,16.666666666666575,48.18653144903548,1.0,0.0017658682925469904,-9.503394069305697,23.12314379116535,5223.138677686979,0
5216.0,5220.0,5215.5,5219.5,4215,5218.2,5220.833333333333,5246.5,5228.202252292095,5221.125,5214.047747707905,-27496.0,-0.4019407638306802,0.2705595390231845,-0.6725003028538648,90.0,43.70370370370361,48.773014162996816,-5.5,0.001689697907658605,-63.788968824927,19.069866144313572,5219.223879618859,0
