,ativo,var_bb,rate_tp,rate_stop,pontos,qtd_operacoes,taxa_acerto,pontos_bruto,pontos_liquido
0,win_15,2.5,3.0,1,150,50,0.24,-300.0,-550.0
0,win_15,2.5,5.0,1,150,50,0.2,1500.0,1250.0
0,win_15,3.0,1.5,1,40,19,0.0,-760.0,-855.0
0,win_15,3.0,2.0,1,40,19,0.0,-760.0,-855.0
0,win_15,3.0,2.5,1,40,19,0.0,-760.0,-855.0
0,win_15,3.0,3.0,1,40,19,0.0,-760.0,-855.0
0,win_15,3.0,5.0,1,40,19,0.0,-760.0,-855.0
0,win_15,3.0,1.5,1,80,19,0.21052631578947367,-720.0,-815.0
0,win_15,3.0,2.0,1,80,19,0.15789473684210525,-800.0,-895.0
0,win_15,3.0,2.5,1,80,19,0.15789473684210525,-680.0,-775.0
0,win_15,3.0,3.0,1,80,19,0.15789473684210525,-560.0,-655.0
0,win_15,3.0,5.0,1,80,19,0.10526315789473684,-560.0,-655.0
0,win_15,3.0,1.5,1,100,19,0.21052631578947367,-900.0,-995.0
0,win_15,3.0,2.0,1,100,19,0.15789473684210525,-1000.0,-1095.0
0,win_15,3.0,2.5,1,100,19,0.15789473684210525,-850.0,-945.0
0,win_15,3.0,3.0,1,100,19,0.10526315789473684,-1100.0,-1195.0
0,win_15,3.0,5.0,1,100,19,0.10526315789473684,-700.0,-795.0
0,win_15,3.0,1.5,1,150,19,0.3684210526315789,-225.0,-320.0
0,win_15,3.0,2.0,1,150,19,0.21052631578947367,-1050.0,-1145.0
0,win_15,3.0,2.5,1,150,19,0.21052631578947367,-750.0,-845.0
0,win_15,3.0,3.0,1,150,19,0.21052631578947367,-450.0,-545.0
0,win_15,3.0,5.0,1,150,19,0.21052631578947367,750.0,655.0
