,Data,Open,High,Low,Close,Vol,MA_5,MA_21,SAR,BB_up,BB_mid,BB_low,OBV,macd,macdsignal,macdhist,fastk,fastd,RSI,MOM,TRIX,CCI,ADX,MA_9,MA_100,acao,resultado_valor,resultado_binario
583,2018-01-09 16:00:00,79450.0,79515.0,79430.0,79490.0,23137,79438.0,79501.66666666667,72605.0,79638.18298069741,79496.0,79353.81701930259,1932620.0,-45.4732653414394,-43.784654344855895,-1.688610996583506,86.11111111111111,68.09764309764296,47.544996778561085,-60.0,0.003067589799266024,35.42354235425199,15.180349969503084,79459.46355849641,79437.5,sell,200.0,1
605,2018-01-10 12:15:00,78890.0,78905.0,78780.0,78820.0,33843,78859.0,78941.66666666667,72605.0,79438.16077545926,78919.5,78400.83922454074,1931861.0,-136.4598362706456,-162.13316782088097,25.67333155023536,24.242424242424242,50.67340067340052,38.5683758957487,160.0,-0.01317625271720635,52.92273649271814,30.186558553104867,78849.92746242751,79387.4,call,40.0,1
611,2018-01-10 13:45:00,78860.0,78875.0,78760.0,78795.0,40947,78775.0,78792.85714285714,72605.0,78983.40641302345,78770.75,78558.09358697655,1940057.0,-103.26119001848565,-129.72879560868824,26.467605590202595,72.22222222222221,83.44594594594581,42.95177906006503,-65.0,-0.015822444954916026,-6.19180633148074,29.56746802394711,78811.5096247106,79351.1,call,40.0,1
623,2018-01-10 16:45:00,78890.0,78935.0,78825.0,78845.0,28761,78866.0,78851.66666666667,72605.0,79021.54019349335,78851.25,78680.95980650665,1969648.0,-31.688650526848505,-48.03295701693244,16.344306490083937,46.15384615384615,61.44522144522128,46.728285657118484,-110.0,-0.015029445756475912,-10.101010101006938,21.024301307608,78864.34746296259,79290.9,call,-240.0,0
643,2018-01-11 12:30:00,78915.0,78970.0,78815.0,78890.0,53998,78948.0,78820.23809523809,72605.0,79052.20806161023,78819.0,78585.79193838977,1969330.0,23.530680639480124,8.36313203767618,15.167548601803944,28.846153846153847,36.69871794871779,51.42002338747238,-30.0,-0.009729847141159986,21.4951291825543,14.683717482332034,78902.85006824546,79171.3,call,330.0,1
671,2018-01-12 10:15:00,79385.0,79685.0,79220.0,79650.0,94379,79589.0,79475.23809523809,72605.0,79866.74925348301,79490.0,79113.25074651699,2417771.0,135.0573025234189,154.1072371356018,-19.04993461218288,79.62962962962962,50.676981806367614,60.40455808595193,80.0,0.01144677490401147,-32.56172839505005,32.145149584134366,79584.4550241172,79093.6,sell,240.0,1
680,2018-01-12 12:30:00,79395.0,79650.0,79360.0,79575.0,82727,79426.0,79585.47619047618,72605.0,79894.13789572105,79594.25,79294.36210427895,2313158.0,46.331033966038376,86.53238850465956,-40.20135453862119,58.82352941176471,34.541176470588084,53.27610527227413,190.0,0.01435353184577881,-18.994898512972707,21.889208872107954,79517.89008529519,79100.8,sell,-150.0,0
691,2018-01-12 15:15:00,79595.0,79715.0,79575.0,79625.0,42686,79590.0,79595.0,72605.0,79868.19338187389,79592.25,79316.30661812611,2356101.0,40.226111194773694,54.51971201181067,-14.293600817036975,67.85714285714286,42.86844995800203,52.85809961600791,-30.0,0.01394319779837172,38.400461960441966,13.21345625258474,79604.8549040397,79132.3,sell,245.0,1
698,2018-01-12 17:00:00,79470.0,79570.0,79415.0,79510.0,37958,79439.0,79547.38095238095,72605.0,79773.03334026884,79552.75,79332.46665973116,2259607.0,-16.677284513541963,4.895493582343414,-21.572778095885376,77.35849056603774,60.89112651194082,49.748106244815276,-40.0,0.011443032095481698,-27.85445420326118,12.090256831446064,79486.10755517168,79186.4,sell,-250.0,0
717,2018-01-15 12:30:00,80105.0,80190.0,80060.0,80150.0,50033,80151.0,79960.0,72605.0,80454.85891406772,79984.25,79513.64108593228,2525183.0,149.8102498001681,153.05336993316385,-3.243120132995756,40.0,23.089430894308776,64.60825331471773,65.0,0.014979186276620204,15.581711906476864,33.08687967822208,80126.53728929431,79406.4,sell,10.0,1
