,Data,Open,High,Low,Close,Vol,MA_5,MA_21,BB_up,BB_mid,BB_low,macd,macdsignal,macdhist,RSI,dist_bb,dist_bb_up,dist_bb_low,dist_media,dist_media_abs,dist_price_media_21,dist_price_media_5,dist_RSI_70,dist_RSI_30,tamanho_corpo,tamanho_full,media_vol_5,media_vol_3,media_vol_10,tamanho_corpo_5,tamanho_corpo_direcao,candle_direcao,candle_direcao_5,candle_direcao_3,candle_direcao_10,tamanho_pra_baixo,tamanho_abaixo,tamanho_pra_cima,tamanho_acima,proximo_candle,pos_BB_inicial,verifica_tamanho,acao,stop,tp,resultado_binario
80260,2022-11-01 17:20:00,118280.0,118315.0,118065.0,118100.0,19255,118249.0,118410.71428571429,118663.88338208728,118393.25,118122.61661791272,-125.57414453823003,-115.34559289068578,-10.22855164754425,38.64057836057303,601.4075157495099,593.953757874755,-7.453757874754956,-161.71428571428987,161.71428571428987,310.7142857142899,149.0,-31.35942163942697,8.64057836057303,180.0,250.0,18771.2,21279.333333333332,19172.3,90.0,-180.0,0,0.2,0.3333333333333333,0.3,215.0,35.0,35.0,215.0,-235.0,-1,0.837208912926087,call,118050.0,118200.0,0.0
80286,2022-11-01 17:46:00,117450.0,117510.0,117320.0,117430.0,14479,117619.0,117788.57142857143,118158.62313548237,117808.5,117458.37686451763,-139.12569871860615,-109.42597241590832,-29.699726302697826,34.35593811069895,778.0514121830347,767.5257060915173,-10.52570609151735,-169.5714285714348,169.5714285714348,358.5714285714348,189.0,-35.64406188930105,4.3559381106989505,20.0,190.0,16592.8,20328.666666666668,16895.5,84.0,-20.0,0,0.4,0.0,0.4,130.0,110.0,60.0,80.0,-285.0,-1,0.15384603550304962,call,117380.0,117530.0,0.0
80321,2022-11-03 09:28:00,115795.0,115865.0,115490.0,115605.0,53071,115705.0,115764.52380952382,115868.44307286653,115753.5,115638.55692713347,-244.32584896964545,-303.3763203830152,59.050471413369735,33.09662811624103,255.4290508145059,276.21452540725295,20.78547459274705,-59.52380952381645,59.52380952381645,159.52380952381645,100.0,-36.90337188375897,3.0966281162410283,190.0,375.0,25088.0,28385.0,21871.9,97.0,-190.0,0,0.6,0.3333333333333333,0.4,305.0,115.0,70.0,260.0,70.0,-1,0.6229506154260278,call,115555.0,115705.0,1.0
80336,2022-11-03 09:43:00,115820.0,115905.0,115740.0,115865.0,30051,115804.0,115696.90476190476,115847.8050903352,115698.5,115549.1949096648,-53.966172638203716,-112.57428251693139,58.608109878727674,53.543019035149584,331.78908963376307,-0.6054551831184654,-332.39454481688153,107.09523809523671,107.09523809523671,-168.0952380952367,-61.0,-16.456980964850416,23.543019035149584,45.0,165.0,22023.4,20040.666666666668,21058.4,30.0,45.0,1,1.0,1.0,0.7,80.0,125.0,85.0,40.0,-50.0,1,0.5294111418692449,sell,115915.0,115765.0,1.0
80370,2022-11-03 10:17:00,116440.0,116485.0,116185.0,116275.0,39998,116399.0,116532.61904761905,116756.231731939,116529.0,116301.768268061,26.84881252842024,74.28105689407933,-47.43224436565909,44.46375946605112,504.95940430890187,506.47970215445093,1.5202978455490666,-133.61904761905316,133.61904761905316,257.61904761905316,124.0,-25.536240533948877,14.463759466051123,165.0,300.0,25864.2,26254.333333333332,38178.0,80.0,-165.0,0,0.4,0.3333333333333333,0.4,255.0,90.0,45.0,210.0,85.0,-1,0.647058569780953,call,116225.0,116375.0,1.0
80386,2022-11-03 10:33:00,116380.0,116680.0,116370.0,116640.0,65558,116386.0,116241.19047619047,116578.18497194946,116235.5,115892.81502805054,12.756465036509326,-39.916714616722835,52.67317965323216,65.08185872155178,761.5221598876815,-23.73892005615926,-785.2610799438407,144.80952380952658,144.80952380952658,-398.8095238095266,-254.0,-4.918141278448218,35.08185872155178,260.0,310.0,52931.0,52929.0,41804.2,104.0,260.0,1,0.8,0.6666666666666666,0.7,10.0,270.0,300.0,40.0,-10.0,1,0.8666663777778741,sell,116690.0,116540.0,1.0
80412,2022-11-03 10:59:00,116920.0,116940.0,116745.0,116775.0,47734,117004.0,117120.47619047618,117378.67652991369,117130.5,116882.32347008631,72.88299882930005,137.69855318588705,-64.815554356587,42.6399329809596,551.5033998081926,631.2516999040963,79.74830009590369,-116.47619047618355,116.47619047618355,345.47619047618355,229.0,-27.3600670190404,12.6399329809596,145.0,195.0,31295.4,36405.333333333336,31358.1,103.0,-145.0,0,0.4,0.0,0.3,175.0,30.0,20.0,165.0,-45.0,-1,0.8285709551023114,call,116725.0,116875.0,1.0
80434,2022-11-03 11:21:00,117185.0,117330.0,117165.0,117330.0,34382,117109.0,116781.19047619047,117247.11418802911,116781.75,116316.38581197089,86.33842737224768,6.636214504829624,79.70221286741805,70.42304250825296,1034.1426400647033,-31.17867996764835,-1065.3213200323517,327.8095238095266,327.8095238095266,-548.8095238095266,-221.0,0.4230425082529621,40.42304250825296,145.0,165.0,38849.8,54155.0,37890.2,86.0,145.0,1,0.8,1.0,0.8,20.0,165.0,145.0,0.0,110.0,1,0.9999993103453032,sell,117380.0,117230.0,0.0
80461,2022-11-03 11:48:00,117470.0,117670.0,117460.0,117630.0,44221,117475.0,117436.90476190476,117586.48289628493,117426.0,117265.51710371507,72.61034086230211,75.41003871418113,-2.799697851879017,62.63992097281956,356.62865841094754,-25.68567079452623,-382.31432920547377,38.09523809523671,38.09523809523671,-193.0952380952367,-155.0,-7.36007902718044,32.63992097281956,160.0,210.0,31235.8,33664.666666666664,35180.0,69.0,160.0,1,0.4,0.6666666666666666,0.5,10.0,170.0,200.0,40.0,-15.0,1,0.7999996000002,sell,117680.0,117530.0,0.0
80472,2022-11-03 11:59:00,117975.0,118035.0,117910.0,117955.0,43768,117754.0,117535.71428571429,117853.508719087,117549.0,117244.491280913,122.42822277090454,85.04603947996414,37.382183290940404,70.74083192348262,676.6860424155311,-67.65697879223444,-744.3430212077656,218.28571428571013,218.28571428571013,-419.2857142857101,-201.0,0.7408319234826166,40.74083192348262,20.0,125.0,41078.4,49836.0,39473.3,105.0,-20.0,0,0.8,0.6666666666666666,0.6,65.0,45.0,60.0,80.0,-50.0,1,0.3333327777787037,sell,118005.0,117855.0,0.0
80489,2022-11-03 12:16:00,117820.0,117850.0,117745.0,117750.0,23722,117886.0,117925.0,118108.93141457155,117941.0,117773.06858542845,74.10069387948897,115.51759831024211,-41.416904430753135,46.308208279347284,373.1809212701046,377.5904606350523,4.409539364947705,-39.0,39.0,175.0,136.0,-23.691791720652716,16.308208279347284,70.0,105.0,32730.4,24708.666666666668,28916.4,127.0,-70.0,0,0.2,0.0,0.5,75.0,5.0,30.0,100.0,-20.0,-1,0.9333320888905481,call,117700.0,117850.0,1.0
80508,2022-11-03 12:35:00,117905.0,118020.0,117875.0,118005.0,36276,117842.0,117833.33333333333,117953.04520149926,117834.0,117714.95479850074,15.436718867742456,11.066490080101651,4.370228787640805,60.71518277808543,264.5448922205833,-38.72755388970836,-303.27244611029164,8.666666666671517,8.666666666671517,-171.66666666667152,-163.0,-9.284817221914572,30.715182778085428,100.0,145.0,24301.6,24486.0,19235.8,65.0,100.0,1,0.6,1.0,0.4,30.0,130.0,115.0,15.0,20.0,1,0.8695644612482946,sell,118055.0,117905.0,0.0
